Site,Name,Latitude,Longitude,Altitude (m),Transmitter,Height (m),Azimuth (°),Priority,
CW013,Vodafone Knockbower,52.7646685,-6.8713048,190,CW013 Vodafone Knockbower_4   ,26.1,180,#N/A,
CW013,Vodafone Knockbower,52.7646685,-6.8713048,190,CW013 Vodafone Knockbower_5   ,26.1,300,#N/A,
CW013,Vodafone Knockbower,52.7646685,-6.8713048,190,CW013 Vodafone Knockbower_6   ,26.1,300,#N/A,
DL003,Towercom Letterkenny,54.951,-7.735483,28,DL003 Towercom Letterkenny_1_L   ,25,0,#N/A,
DL003,Towercom Letterkenny,54.951,-7.735483,28,DL003 Towercom Letterkenny_1_R   ,25,0,#N/A,
DL003,Towercom Letterkenny,54.951,-7.735483,28,DL003 Towercom Letterkenny_2_L   ,25,120,#N/A,
DL003,Towercom Letterkenny,54.951,-7.735483,28,DL003 Towercom Letterkenny_2_R   ,25,120,#N/A,
CN001,3IRL Murmod,53.851882,-7.083487,188,CN001 3IRL Murmod_2   ,26,200,Priority,
CN004,RTE Mohercrom,53.9103621,-6.901284327,308,CN004 RTE Mohercrom_1   ,29,80,Priority,
CN004,RTE Mohercrom,53.9103621,-6.901284327,308,CN004 RTE Mohercrom_2   ,29,210,Priority,
CN004,RTE Mohercrom,53.9103621,-6.901284327,308,CN004 RTE Mohercrom_3   ,29,320,Priority,
